Gene	Transcript_ID	Protein_ID	Length
TG	ENST00000220616.9	ENSP00000220616.4	2768
TG	ENST00000518505.1	ENSP00000429605.1	226
TG	ENST00000519178.5	ENSP00000430523.1	1224
TG	ENST00000518058.1	ENSP00000429164.1	62
TG	ENST00000519543.5	ENSP00000430430.1	901
TG	ENST00000518108.1	ENSP00000429761.1	194
TG	ENST00000521107.1	ENSP00000430161.1	172
CMTM2	ENST00000379486.6	ENSP00000368800.2	195
CMTM2	ENST00000268595.3	ENSP00000268595.2	248
SLC22A1	ENST00000366963.9	ENSP00000355930.4	554
SLC22A1	ENST00000324965.8	ENSP00000318103.4	506
SLC22A1	ENST00000457470.6	ENSP00000409557.2	483
SLC22A1	ENST00000540443.1	ENSP00000440105.1	48
CYP1A2	ENST00000343932.5	ENSP00000342007.4	516
ORM2	ENST00000431067.4	ENSP00000394936.2	201
ORM1	ENST00000259396.9	ENSP00000259396.8	201
FABP2	ENST00000274024.4	ENSP00000274024.3	132
SPACA7	ENST00000414180.5	ENSP00000416096.1	104
SPACA7	ENST00000283550.8	ENSP00000283550.3	195
SPACA7	ENST00000443541.5	ENSP00000406733.1	111
SPACA7	ENST00000375699.3	ENSP00000364851.3	164
ERVH48-1	ENST00000447535.2	ENSP00000504647.1	160
ELANE	ENST00000590230.5	ENSP00000466090.1	267
ELANE	ENST00000263621.2	ENSP00000263621.1	267
BPI	ENST00000262865.9	ENSP00000262865.4	487
BPI	ENST00000642449.2	ENSP00000494528.2	483
BPI	ENST00000417318.3	ENSP00000409833.2	286
RPGRIP1	ENST00000400017.7	ENSP00000382895.2	1286
RPGRIP1	ENST00000556336.5	ENSP00000450445.1	943
RPGRIP1	ENST00000557771.5	ENSP00000451219.1	1248
RPGRIP1	ENST00000382933.8	ENSP00000372391.4	612
RPGRIP1	ENST00000557351.1	ENSP00000452215.1	166
RPGRIP1	ENST00000555587.5	ENSP00000451262.1	761
RPGRIP1	ENST00000554303.1	ENSP00000450426.1	143
RPGRIP1	ENST00000557606.1	ENSP00000451719.1	134
BTNL3	ENST00000342868.7	ENSP00000341787.6	466
DEFA3	ENST00000327857.7	ENSP00000328359.2	94
DEFA4	ENST00000297435.3	ENSP00000297435.2	97
ENSG00000289715	ENST00000696766.1	ENSP00000512858.1	47
FANCD2OS	ENST00000524279.1	ENSP00000429663.1	177
FANCD2OS	ENST00000453223.2	ENSP00000429589.1	97
FANCD2OS	ENST00000450660.3	ENSP00000429608.1	177
HBD	ENST00000292901.7	ENSP00000292901.3	141
HBD	ENST00000650601.1	ENSP00000497529.1	147
HBD	ENST00000643122.1	ENSP00000494708.1	147
HBD	ENST00000417377.1	ENSP00000414741.1	85
HBD	ENST00000429817.1	ENSP00000393810.1	104
PRTN3	ENST00000234347.10	ENSP00000234347.3	256
PRTN3	ENST00000544537.2	ENSP00000475174.1	215
SYCE3	ENST00000406915.4	ENSP00000385480.3	88
SYCE3	ENST00000402753.1	ENSP00000385122.1	88
AZU1	ENST00000592205.5	ENSP00000481172.1	150
AZU1	ENST00000233997.4	ENSP00000233997.1	251
SERPINA1	ENST00000393087.9	ENSP00000376802.4	418
SERPINA1	ENST00000440909.5	ENSP00000390299.1	418
SERPINA1	ENST00000355814.8	ENSP00000348068.4	418
SERPINA1	ENST00000437397.5	ENSP00000408474.1	418
SERPINA1	ENST00000448921.5	ENSP00000416066.1	418
SERPINA1	ENST00000636712.1	ENSP00000490054.1	418
SERPINA1	ENST00000393088.8	ENSP00000376803.4	418
SERPINA1	ENST00000404814.8	ENSP00000385960.4	418
SERPINA1	ENST00000449399.7	ENSP00000416354.3	418
SERPINA1	ENST00000402629.1	ENSP00000386094.1	359
SERPINA1	ENST00000554720.1	ENSP00000450561.1	105
SERPINA1	ENST00000556091.1	ENSP00000452169.1	156
SERPINA1	ENST00000557492.5	ENSP00000452452.1	144
SERPINA1	ENST00000556955.5	ENSP00000451098.1	117
SERPINA1	ENST00000553327.5	ENSP00000452480.1	92
SERPINA1	ENST00000557118.5	ENSP00000451826.1	22
CCN3	ENST00000259526.4	ENSP00000259526.3	357
XKR3	ENST00000331428.5	ENSP00000331704.5	459
XKR3	ENST00000684488.1	ENSP00000507478.1	459
TEX54	ENST00000636508.2	ENSP00000490507.1	124
CEACAM8	ENST00000244336.10	ENSP00000244336.5	349
CEACAM8	ENST00000599005.1	ENSP00000472166.1	51
DEFA1	ENST00000382692.3	ENSP00000372139.2	94
ZDHHC19	ENST00000296326.8	ENSP00000296326.3	309
GNAT2	ENST00000679935.1	ENSP00000505083.1	354
GNAT2	ENST00000351050.8	ENSP00000251337.3	354
GNAT2	ENST00000622865.1	ENSP00000482596.1	123
TSPAN16	ENST00000621731.4	ENSP00000480759.1	160
TSPAN16	ENST00000316737.5	ENSP00000319486.1	245
TSPAN16	ENST00000590327.6	ENSP00000467341.1	244
TSPAN16	ENST00000592955.5	ENSP00000466751.1	219
UGT1A1	ENST00000305208.10	ENSP00000304845.5	533
UGT1A1	ENST00000360418.4	ENSP00000353593.3	444
CABYR	ENST00000627314.1	ENSP00000486801.1	395
CABYR	ENST00000399481.6	ENSP00000382404.3	475
CABYR	ENST00000327201.10	ENSP00000317095.6	281
CABYR	ENST00000463087.5	ENSP00000432870.1	493
CABYR	ENST00000585037.5	ENSP00000463737.1	46
CABYR	ENST00000399496.8	ENSP00000382419.3	379
CABYR	ENST00000486759.6	ENSP00000431142.3	493
CABYR	ENST00000577705.1	ENSP00000463781.1	36
CABYR	ENST00000415309.6	ENSP00000399973.2	221
CABYR	ENST00000621648.4	ENSP00000483621.1	493
CABYR	ENST00000581397.5	ENSP00000462811.2	196
CABYR	ENST00000399499.5	ENSP00000382421.1	379
CABYR	ENST00000579102.1	ENSP00000462748.1	84
CABYR	ENST00000582229.1	ENSP00000462947.1	293
DPEP3	ENST00000268793.6	ENSP00000268793.5	488
DPEP3	ENST00000672962.1	ENSP00000500237.1	513
LRG1	ENST00000306390.7	ENSP00000302621.4	347
SIRPD	ENST00000429387.5	ENSP00000410072.1	80
SIRPD	ENST00000381621.5	ENSP00000371034.1	198
SIRPD	ENST00000381623.4	ENSP00000371036.3	197
GHRL	ENST00000335542.13	ENSP00000335074.8	117
GHRL	ENST00000430179.5	ENSP00000399922.1	116
GHRL	ENST00000422159.5	ENSP00000405464.1	91
GHRL	ENST00000287656.11	ENSP00000287656.7	116
GHRL	ENST00000437422.6	ENSP00000416768.2	105
GHRL	ENST00000439975.6	ENSP00000403725.2	66
GHRL	ENST00000446937.2	ENSP00000394923.2	40
GHRL	ENST00000449238.6	ENSP00000388145.2	104
GHRL	ENST00000457360.5	ENSP00000391406.1	117
GHRL	ENST00000429122.1	ENSP00000414819.1	117
GHRL	ENST00000425479.1	ENSP00000405031.1	33
ASPRV1	ENST00000320256.6	ENSP00000315383.5	259
HORMAD1	ENST00000368995.8	ENSP00000357991.4	314
HORMAD1	ENST00000361824.7	ENSP00000355167.2	394
