Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
TG	"AITD3, TGN"	ENSG00000042832	Thyroglobulin	P01266	8	132866958-133134903	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Thyroid hormones biosynthesis"	"Hormone, Thyroid hormone"	"Cancer-related genes, Congenital hypothyroidism, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	689	"thyroid gland: 9062.1"	"Cell type enhanced"	"Detected in some"		"Basal prostatic cells: 10.9;Proximal tubular cells: 3.7;Salivary duct cells: 8.7"	"Cell type enhanced"	"Detected in many"		"amygdala excitatory: 52.6;ependymal cell: 45.7;hippocampal CA4: 73.9"	"Cancer enriched"	"Detected in many"	1546	"Thyroid Carcinoma (TCGA): 11774.7"	"Group enriched"	"Detected in some"	4	"amygdala: 5.8;cerebral cortex: 3.8;choroid plexus: 3.1;hippocampal formation: 3.3"	"Immune cell enhanced"	"Detected in single"		"neutrophil: 1.0"	"Low lineage specificity"	"Detected in single"			"Cancer enriched"	"Detected in some"	9	"thyroid cancer: 16.6"	"Prostate - Prostate basal glandular cells, Thyroid gland - Thyroid glandular cells"	"Region enriched"	"Detected in single"	5	"cerebellum: 1.1"	"Low region specificity"	"Detected in many"			"CAB000077, HPA002740, CAB056155"	Enhanced				"Secreted in other tissues"	Hormone	NA	NA		930000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 51: Thyroid gland - Unknown function"	"Cluster 29: Forebrain - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	2			"CAB000077: , CAB056155: AB_2665573, HPA002740: AB_1080277"	"unprognostic (4.40e-2)"		"unprognostic (7.94e-3)"	"unprognostic (1.27e-1)"	"unprognostic (1.42e-1)"	"unprognostic (6.06e-3)"		"unprognostic (3.93e-1)"		"unprognostic (1.19e-1)"		"unprognostic (2.10e-2)"	"unprognostic (6.88e-3)"					"unprognostic (1.24e-1)"				"unprognostic (2.26e-1)"		"unprognostic (1.63e-2)"	"potential prognostic favorable (1.31e-5)"	"unprognostic (2.02e-1)"				"unprognostic (1.71e-1)"	"unprognostic (8.50e-2)"
CMTM2	"CKLFSF2, FLJ25732, MGC39436"	ENSG00000140932	"CKLF like MARVEL transmembrane domain containing 2"	Q8TAZ6	16	66579448-66588275	"Predicted membrane proteins"	Chemotaxis	Cytokine		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	427	"testis: 630.9"	"Group enriched"	"Detected in some"	58	"Early spermatids: 3600.0;Late spermatids: 3391.5;Spermatocytes: 1115.0"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in single"		"Testicular Germ Cell Tumor (TCGA): 1.8"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	5	"neutrophil: 1.1"	"Lineage enriched"	"Detected in single"	5	"granulocytes: 1.1"	"Low cancer specificity"	"Detected in single"			"Adipose visceral - Neutrophils, Heart muscle - Neutrophils, Lung - Neutrophil_2, Spleen - Neutrophils, Stomach - Neutrophils, Testis - Early spermatids, Testis - Late spermatids"					"Low region specificity"	"Detected in all"										NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 10: Testis - Spermatid development"	"Cluster 34: Non-specific - Mixed function"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	10						"unprognostic (1.99e-2)"			"unprognostic (1.28e-1)"		"potential prognostic favorable (4.09e-4)"																		"unprognostic (1.97e-1)"			"unprognostic (1.60e-1)"		
SLC22A1	OCT1	ENSG00000175003	"Solute carrier family 22 member 1"	O15245	6	160121815-160158718	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	381	"liver: 594.8"	"Cell type enriched"	"Detected in some"	22	"Hepatocytes: 803.2"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in some"	65	"Liver Hepatocellular Carcinoma (TCGA): 112.9"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	12	"neutrophil: 3.5"	"Lineage enriched"	"Detected in single"	12	"granulocytes: 3.5"	"Not detected"	"Not detected"			"Liver - Hepatocytes, Spleen - Neutrophils"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA029846	Approved						NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 31: Liver - Plasma proteins"	"Cluster 51: Neurons - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 43: Hepatocytes - Metabolism"	4			"HPA029846: AB_10603026"						"unprognostic (1.11e-2)"		"unprognostic (1.93e-2)"	"unprognostic (6.09e-3)"					"validated prognostic favorable (3.96e-5)"	"validated prognostic favorable (9.29e-8)"											"unprognostic (8.48e-3)"					
CYP1A2	"CP12, P3-450"	ENSG00000140505	"Cytochrome P450 family 1 subfamily A member 2"	P05177	15	74748845-74756607	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism"	"Lyase, Monooxygenase, Oxidoreductase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	358	"liver: 495.9"	"Cell type enriched"	"Detected in some"	56	"Hepatocytes: 535.0"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Bladder Urothelial Carcinoma (TCGA): 16.9;Liver Hepatocellular Carcinoma (TCGA): 33.0"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"neutrophil: 2.1"	"Lineage enriched"	"Detected in single"	4	"granulocytes: 2.1"	"Low cancer specificity"	"Detected in single"			"Liver - Hepatocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			CAB016531	Enhanced						NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 31: Liver - Plasma proteins"	"Cluster 48: Non-specific - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 43: Hepatocytes - Metabolism"	2			"CAB016531: AB_629359"	"unprognostic (2.27e-3)"			"unprognostic (1.24e-1)"		"unprognostic (2.21e-2)"				"unprognostic (5.30e-2)"				"unprognostic (1.50e-1)"	"potential prognostic favorable (9.27e-5)"								"unprognostic (5.55e-3)"			"unprognostic (3.85e-2)"				"unprognostic (1.22e-1)"	"unprognostic (5.71e-2)"
ORM2	"AGP-B, AGP-B', AGP2"	ENSG00000228278	"Orosomucoid 2"	P19652	9	114329869-114333251	"FDA approved drug targets, Plasma proteins, Predicted secreted proteins"	"Acute phase, Transport"		"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	297	"liver: 8652.9"	"Cell type enriched"	"Detected in some"	44	"Hepatocytes: 9678.3"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	33	"Liver Hepatocellular Carcinoma (TCGA): 2268.7"	"Low region specificity"	"Detected in some"			"Immune cell enriched"	"Detected in single"	39	"neutrophil: 13.2"	"Lineage enriched"	"Detected in single"	39	"granulocytes: 13.2"	"Cancer enriched"	"Detected in some"	27	"liver cancer: 95.6"	"Liver - Hepatocytes, Testis - Late spermatids"									"HPA046438, HPA047725, HPA057726"	Approved		Approved	"Golgi apparatus,Vesicles"	"Secreted to blood"	"Acute phase"	NA	NA	422000000	29000000000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 31: Liver - Plasma proteins"	"Cluster 33: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	5	Vesicles	"Golgi apparatus"	"HPA046438: AB_2679666, HPA047725: AB_2680133, HPA057726: AB_2683512"		"unprognostic (2.88e-3)"	"unprognostic (3.41e-1)"								"potential prognostic unfavorable (5.27e-6)"			"unprognostic (6.53e-2)"	"unprognostic (8.21e-3)"	"unprognostic (9.83e-2)"	"unprognostic (4.84e-3)"	"unprognostic (1.47e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.81e-1)"		"unprognostic (6.38e-3)"	"unprognostic (5.16e-1)"	"unprognostic (5.21e-2)"	"unprognostic (1.09e-1)"		"unprognostic (6.66e-1)"	"unprognostic (3.28e-1)"			"unprognostic (5.20e-1)"
ORM1		ENSG00000229314	"Orosomucoid 1"	P02763	9	114323098-114326479	"Cancer-related genes, Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins"	"Acute phase, Transport"		"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	177	"liver: 41892.9"	"Cell type enriched"	"Detected in some"	53	"Hepatocytes: 54806.5"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	13	"Liver Hepatocellular Carcinoma (TCGA): 7670.7"	"Low region specificity"	"Detected in single"			"Immune cell enriched"	"Detected in some"	47	"neutrophil: 201.8"	"Lineage enriched"	"Detected in many"	47	"granulocytes: 201.8"	"Cancer enriched"	"Detected in many"	4	"liver cancer: 243.4"	"Liver - Hepatocytes, Lung - Neutrophil_2"									"CAB006265, HPA046438, HPA047725, HPA057726"	Approved		Approved	"Golgi apparatus,Vesicles"	"Secreted to blood"	"Acute phase"	NA	NA	945000000000	45000000000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 31: Liver - Plasma proteins"	"Cluster 54: Immune cells - T cell receptor"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	22	Vesicles	"Golgi apparatus"	"CAB006265: AB_425575, HPA046438: AB_2679666, HPA047725: AB_2680133, HPA057726: AB_2683512"	"unprognostic (3.25e-1)"	"unprognostic (4.14e-2)"	"unprognostic (1.24e-1)"	"unprognostic (3.16e-3)"	"unprognostic (9.91e-3)"	"unprognostic (1.59e-2)"					"unprognostic (1.86e-2)"			"unprognostic (2.66e-1)"	"potential prognostic favorable (1.16e-4)"	"unprognostic (6.02e-2)"	"unprognostic (1.88e-1)"	"unprognostic (3.33e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.82e-1)"	"unprognostic (1.22e-1)"	"unprognostic (2.59e-3)"	"unprognostic (3.24e-2)"	"unprognostic (1.77e-1)"	"unprognostic (1.13e-1)"	"unprognostic (1.25e-1)"	"unprognostic (6.24e-1)"	"unprognostic (1.47e-1)"	"unprognostic (1.98e-2)"	"unprognostic (1.20e-2)"	"unprognostic (9.18e-2)"
FABP2	I-FABP	ENSG00000145384	"Fatty acid binding protein 2"	P12104	4	119317250-119322138	"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	Transport		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	173	"intestine: 534.5"	"Cell type enriched"	"Detected in some"	12	"Proximal enterocytes: 6752.6"	"Cell type enriched"	"Detected in single"	22	"choroid plexus epithelial cell: 8.2"	"Group enriched"	"Detected in some"	8	"Colon Adenocarcinoma (TCGA): 5.5;Pancreatic Adenocarcinoma (TCGA): 2.6;Rectum Adenocarcinoma (TCGA): 4.6;Stomach Adenocarcinoma (TCGA): 4.2"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	6	"basophil: 1.6;neutrophil: 4.2"	"Lineage enriched"	"Detected in single"	9	"granulocytes: 4.2"	"Group enriched"	"Detected in some"	5	"Bile duct cancer: 2.0;colorectal cancer: 1.8;Gastric cancer: 1.1"	"Colon - Colon enterocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA034607, CAB047325, CAB047326"	Enhanced		Approved	"Plasma membrane,Actin filaments,Cytosol"			NA	NA		390000	"Cluster 35: Neutrophils - Protein binding"	"Cluster 25: Small intestine - Absorption"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"	2	"Actin filaments, Cytosol"	"Plasma membrane"	"CAB047325: , CAB047326: , HPA034607: AB_10601317"					"unprognostic (5.26e-2)"	"unprognostic (6.08e-2)"																"unprognostic (3.15e-1)"	"unprognostic (1.05e-1)"		"unprognostic (5.42e-2)"	"unprognostic (1.52e-3)"		"unprognostic (1.29e-1)"			
SPACA7	C13orf28	ENSG00000153498	"Sperm acrosome associated 7"	Q96KW9	13	112376355-112434689	"Predicted intracellular proteins, Predicted secreted proteins"	Fertilization			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	150	"testis: 81.7"	"Group enriched"	"Detected in some"	29	"Early spermatids: 1215.1;Late spermatids: 966.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"neutrophil: 1.0"	"Lineage enriched"	"Detected in single"	5	"granulocytes: 1.0"	"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"							HPA048349	Enhanced		Approved	"Microtubules,Mitochondria,Acrosome,Equatorial segment,Principal piece,End piece"	"Secreted in male reproductive system"	Other	NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 10: Testis - Spermatid development"	"Cluster 48: Non-specific - Mixed function"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 11: Late spermatids - Unknown function"		"Microtubules, Acrosome"	"Mitochondria, Equatorial segment, Principal piece, End piece"	"HPA048349: AB_2732548"																															
ERVH48-1	"C21orf105, NDUFV3-AS1, SUPYN"	ENSG00000233056	"Endogenous retrovirus group 48 member 1"	M5A8F1	21	42916803-42925630	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	98	"placenta: 148.0"	"Group enriched"	"Detected in some"	21	"Cytotrophoblasts: 132.0;Extravillous trophoblasts: 280.0;Syncytiotrophoblasts: 77.7"	"Low cell type specificity"	"Detected in some"			"Cancer enriched"	"Detected in some"	15	"Testicular Germ Cell Tumor (TCGA): 134.1"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	6	"neutrophil: 7.8"	"Lineage enriched"	"Detected in single"	12	"granulocytes: 7.8"	"Cancer enriched"	"Detected in many"	5	"testis cancer: 41.3"	"Prostate - Prostate glandular cells"														"Secreted in female reproductive system"	"No annotated function"	NA	NA		24000	"Cluster 21: Neutrophils - Unknown function"		"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 4: Extravillous trophoblasts - Unknown function"					"unprognostic (1.39e-1)"					"unprognostic (7.93e-2)"										"unprognostic (8.36e-2)"	"unprognostic (1.36e-2)"							"unprognostic (9.51e-2)"		"unprognostic (8.89e-2)"			"unprognostic (3.07e-1)"		
ELANE	"ELA2, HLE, HNE, NE, PMN-E"	ENSG00000197561	"Elastase, neutrophil expressed"	P08246	19	851014-856247	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"	"Cancer-related genes, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	92	"bone marrow: 3840.6"	"Cell type enhanced"	"Detected in some"		"Fibroblasts: 12.5;Kupffer cells: 9.1;Langerhans cells: 5.5;Leydig cells: 6.8;Oocytes: 19.1"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	9	"Pancreatic Adenocarcinoma (TCGA): 5.4;Stomach Adenocarcinoma (TCGA): 7.9"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	9	"classical monocyte: 4.0;neutrophil: 12.2"	"Group enriched"	"Detected in many"	9	"granulocytes: 12.2;monocytes: 4.0"	"Cancer enriched"	"Detected in some"	227	"Leukemia: 236.6"	"Lung - Neutrophil_1, Pituitary gland - Neutrophils, Skin - Fibroblast_2, Spleen - Hematopoietic stem cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB015409, HPA066836, HPA073774"	Enhanced		Supported	"Golgi apparatus,Vesicles"	"Secreted to blood"	Enzyme	NA	NA	157000000	460000	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 6: Bone marrow - Innate immune response"		"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"	3	Vesicles	"Golgi apparatus"	"CAB015409: AB_831596, HPA066836: AB_2685733, HPA073774: "			"unprognostic (1.95e-1)"																			"unprognostic (2.50e-1)"						"unprognostic (1.86e-2)"			
