gene_name	gencode_protein_id	gencode_transcript_id	gencode_length	uniprot_id	uniprot_entry_name	uniprot_protein_name	uniprot_length	length_difference	function	subcellular_location	go_bp_count	go_mf_count	keywords_count	domains_count
TG	ENSP00000220616.4	ENST00000220616.9	2768	P01266	THYG_HUMAN	Thyroglobulin	2768	0	Acts as a substrate for the production of iodinated thyroid hormones thyroxine (T4) and triiodothyronine (T3) (PubMed:17532758, PubMed:32025030). The synthesis of T3 and T4 involves iodination of selected tyrosine residues of TG/thyroglobulin followed by their oxidative coupling in the thyroid follicle lumen (PubMed:32025030). Following TG re-internalization and lysosomal-mediated proteolysis, T3 and T4 are released from the polypeptide backbone leading to their secretion into the bloodstream (P...	Secreted	0	0	18	11
TG	ENSP00000429605.1	ENST00000518505.1	226	P01266	THYG_HUMAN	Thyroglobulin	2768	2542	Acts as a substrate for the production of iodinated thyroid hormones thyroxine (T4) and triiodothyronine (T3) (PubMed:17532758, PubMed:32025030). The synthesis of T3 and T4 involves iodination of selected tyrosine residues of TG/thyroglobulin followed by their oxidative coupling in the thyroid follicle lumen (PubMed:32025030). Following TG re-internalization and lysosomal-mediated proteolysis, T3 and T4 are released from the polypeptide backbone leading to their secretion into the bloodstream (P...	Secreted	0	0	18	11
TG	ENSP00000430523.1	ENST00000519178.5	1224	P01266	THYG_HUMAN	Thyroglobulin	2768	1544	Acts as a substrate for the production of iodinated thyroid hormones thyroxine (T4) and triiodothyronine (T3) (PubMed:17532758, PubMed:32025030). The synthesis of T3 and T4 involves iodination of selected tyrosine residues of TG/thyroglobulin followed by their oxidative coupling in the thyroid follicle lumen (PubMed:32025030). Following TG re-internalization and lysosomal-mediated proteolysis, T3 and T4 are released from the polypeptide backbone leading to their secretion into the bloodstream (P...	Secreted	0	0	18	11
TG	ENSP00000429164.1	ENST00000518058.1	62	P01266	THYG_HUMAN	Thyroglobulin	2768	2706	Acts as a substrate for the production of iodinated thyroid hormones thyroxine (T4) and triiodothyronine (T3) (PubMed:17532758, PubMed:32025030). The synthesis of T3 and T4 involves iodination of selected tyrosine residues of TG/thyroglobulin followed by their oxidative coupling in the thyroid follicle lumen (PubMed:32025030). Following TG re-internalization and lysosomal-mediated proteolysis, T3 and T4 are released from the polypeptide backbone leading to their secretion into the bloodstream (P...	Secreted	0	0	18	11
TG	ENSP00000430430.1	ENST00000519543.5	901	P01266	THYG_HUMAN	Thyroglobulin	2768	1867	Acts as a substrate for the production of iodinated thyroid hormones thyroxine (T4) and triiodothyronine (T3) (PubMed:17532758, PubMed:32025030). The synthesis of T3 and T4 involves iodination of selected tyrosine residues of TG/thyroglobulin followed by their oxidative coupling in the thyroid follicle lumen (PubMed:32025030). Following TG re-internalization and lysosomal-mediated proteolysis, T3 and T4 are released from the polypeptide backbone leading to their secretion into the bloodstream (P...	Secreted	0	0	18	11
TG	ENSP00000429761.1	ENST00000518108.1	194	P01266	THYG_HUMAN	Thyroglobulin	2768	2574	Acts as a substrate for the production of iodinated thyroid hormones thyroxine (T4) and triiodothyronine (T3) (PubMed:17532758, PubMed:32025030). The synthesis of T3 and T4 involves iodination of selected tyrosine residues of TG/thyroglobulin followed by their oxidative coupling in the thyroid follicle lumen (PubMed:32025030). Following TG re-internalization and lysosomal-mediated proteolysis, T3 and T4 are released from the polypeptide backbone leading to their secretion into the bloodstream (P...	Secreted	0	0	18	11
TG	ENSP00000430161.1	ENST00000521107.1	172	P01266	THYG_HUMAN	Thyroglobulin	2768	2596	Acts as a substrate for the production of iodinated thyroid hormones thyroxine (T4) and triiodothyronine (T3) (PubMed:17532758, PubMed:32025030). The synthesis of T3 and T4 involves iodination of selected tyrosine residues of TG/thyroglobulin followed by their oxidative coupling in the thyroid follicle lumen (PubMed:32025030). Following TG re-internalization and lysosomal-mediated proteolysis, T3 and T4 are released from the polypeptide backbone leading to their secretion into the bloodstream (P...	Secreted	0	0	18	11
CMTM2	ENSP00000368800.2	ENST00000379486.6	195	Q8TAZ6	CKLF2_HUMAN	CKLF-like MARVEL transmembrane domain-containing protein 2	248	53		Membrane	0	0	8	1
CMTM2	ENSP00000268595.2	ENST00000268595.3	248	Q8TAZ6	CKLF2_HUMAN	CKLF-like MARVEL transmembrane domain-containing protein 2	248	0		Membrane	0	0	8	1
SLC22A1	ENSP00000355930.4	ENST00000366963.9	554	O15245	S22A1_HUMAN	Solute carrier family 22 member 1	554	0	Not able to uptake 1-methyl-4-phenylpyridinium (MPP(+))	Basolateral cell membrane; Apical cell membrane; Lateral cell membrane; Basal cell membrane; Cell membrane	0	0	12	0
